ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-11-20,-622582.4608868,400951.0208495274,400951.02085976093,-622582.4608868,-622582.4608868,1023533.4817411384,1023533.4817411384,1023533.4817411384,-432786.3720010336,-432786.3720010336,-432786.3720010336,1456319.8537421722,1456319.8537421722,1456319.8537421722,0.0,0.0,0.0,400951.0208543384
2018-11-21,-1286476.3965337714,380344.8649909554,380344.8650013549,-1286476.3965337714,-1286476.3965337714,1666821.2615299565,1666821.2615299565,1666821.2615299565,-342417.8736098932,-342417.8736098932,-342417.8736098932,2009239.13513985,2009239.13513985,2009239.13513985,0.0,0.0,0.0,380344.86499618506
2018-11-22,-2012487.6381473138,401517.32517713524,401517.3251882119,-2012487.6381473138,-2012487.6381473138,2414004.9633301133,2414004.9633301133,2414004.9633301133,-189927.83937312986,-189927.83937312986,-189927.83937312986,2603932.8027032437,2603932.8027032437,2603932.8027032437,0.0,0.0,0.0,401517.3251827995
2018-11-23,-2738538.897332605,1884610.3934812585,1884610.393491622,-2738538.897332605,-2738538.897332605,4623149.290818865,4623149.290818865,4623149.290818865,1393331.8046613946,1393331.8046613946,1393331.8046613946,3229817.4861574704,3229817.4861574704,3229817.4861574704,0.0,0.0,0.0,1884610.3934862604
2018-11-24,-3464554.869526637,63136.86760930021,63136.867619475684,-3464554.869526637,-3464554.869526637,3527691.7371411435,3527691.7371411435,3527691.7371411435,-347338.9367499446,-347338.9367499446,-347338.9367499446,3875030.6738910885,3875030.6738910885,3875030.6738910885,0.0,0.0,0.0,63136.867614506744
2018-11-25,-4219273.627390657,391074.94373534777,391074.9437461527,-4219273.627390657,-4219273.627390657,4610348.571131566,4610348.571131566,4610348.571131566,83640.98199052401,83640.98199052401,83640.98199052401,4526707.589141042,4526707.589141042,4526707.589141042,0.0,0.0,0.0,391074.943740909
2018-11-26,-4606694.619468504,400112.54393182136,400112.5439416084,-4606694.619468504,-4606694.619468504,5006807.1634052545,5006807.1634052545,5006807.1634052545,-164501.76492581444,-164501.76492581444,-164501.76492581444,5171308.92833107,5171308.92833107,5171308.92833107,0.0,0.0,0.0,400112.54393675085
2018-11-27,-4994115.6115463525,368089.1293412812,368089.12935228,-4994115.6115463525,-4994115.6115463525,5362204.740893139,5362204.740893139,5362204.740893139,-432786.3719972678,-432786.3719972678,-432786.3719972678,5794991.112890406,5794991.112890406,5794991.112890406,0.0,0.0,0.0,368089.12934678607
2018-11-28,-5381536.6036242,597000.4736389217,707997.0447091323,-5444590.528883955,-5333593.957815127,6041591.00252325,6041591.00252325,6041591.00252325,-342417.8736096039,-342417.8736096039,-342417.8736096039,6384008.876132852,6384008.876132852,6384008.876132852,0.0,0.0,0.0,660054.3988990495
2018-11-29,-5768957.595702048,771924.6136995995,1127808.8118672876,-5963285.992974894,-5607401.794802731,6735210.606675403,6735210.606675403,6735210.606675403,-189927.83937079573,-189927.83937079573,-189927.83937079573,6925138.446046199,6925138.446046199,6925138.446046199,0.0,0.0,0.0,966253.0109733548
