ds,yhat,yhat_lower,yhat_upper
2018-11-20,400951.0208543384,400951.0208491604,400951.02085948066
2018-11-21,380344.86499618506,380344.86499080906,380344.8650017706
2018-11-22,401517.3251827995,401517.32517755486,401517.32518807444
2018-11-23,1884610.3934862604,1884610.3934809985,1884610.3934915403
2018-11-24,63136.867614506744,63136.867609275134,63136.8676199746
2018-11-25,391074.943740909,391074.9437357571,391074.9437459037
2018-11-26,400112.54393675085,400112.54393103614,400112.54394210794
2018-11-27,368089.12934678607,368089.12934149744,368089.12935224705
2018-11-28,660054.3988990495,596174.2062405284,722887.1248793637
2018-11-29,966253.0109733548,757450.9711412007,1176378.1107494242
2018-11-30,2643061.5697479956,2273226.1700853202,3060004.450200295
2018-12-01,924885.5212345812,356806.5910627766,1566410.6739644576
2018-12-02,1298192.417147058,517464.365805536,2180965.465921436
2018-12-03,905245.9608209217,-136402.41835823067,2054520.9930470095
2018-12-04,400535.5086035868,-946822.4312219211,1869835.716627437
2018-12-05,161095.81419025455,-1531339.679203725,1943742.1570094
2018-12-06,-108446.67115018796,-2101632.290456567,2021682.1319074482
2018-12-07,964737.0260621812,-1406724.2703832795,3501555.5329567837
2018-12-08,-1366834.4631858598,-4087795.5717413244,1495526.1199200843
2018-12-09,-1597403.6355410786,-4662707.617854797,1740598.1216835424
2018-12-10,-2564786.356484065,-6075514.744775529,1234911.7892086848
2018-12-11,-3594536.38090209,-7473175.578420521,612170.3533992242
2018-12-12,-4290250.781744721,-8695503.2327647,311752.4530931055
2018-12-13,-4929161.756423349,-9725474.51804727,56159.437772174206
2018-12-14,-4122157.503413544,-9517530.348194849,1305433.501726269
2018-12-15,-6602900.482965447,-12480179.58864365,-585257.5686411737
2018-12-16,-6854837.427124205,-13311843.64780198,-270414.19875693304
2018-12-17,-7708505.414162564,-14638460.196013695,-566110.0448588905
2018-12-18,-8486106.86463523,-15834633.0247064,-644818.9983492645
2018-12-19,-8792125.965383444,-16728118.617443146,-262175.0484730181
2018-12-20,-8909118.26246379,-17417127.776281975,151583.761023099
2018-12-21,-7457805.274825195,-16424604.075336397,2237307.745957447
2018-12-22,-9186134.910786394,-18876746.805346783,1206709.2206975066
2018-12-23,-8596098.164972454,-18755875.852765635,2474210.5787661485
2018-12-24,-8540706.401401522,-19221779.499651354,3181680.5086165313
2018-12-25,-8368106.076591906,-19528154.713078827,3948741.503187681
2018-12-26,-7711611.422061948,-19317578.566649918,5328429.093303289
2018-12-27,-6884798.750794839,-19170092.99820426,6926046.2629077975
2018-12-28,-4540809.848160235,-17558629.271882024,10000129.47269384
2018-12-29,-5460544.184675116,-19024197.469846144,9915977.925522318
2018-12-30,-4178552.283372987,-18546343.663459025,12003161.741427263
2018-12-31,-3579058.7606838997,-18627183.600401424,13503297.962765314
2019-01-01,-3039117.839126354,-18771608.881494213,14673990.249006718
2019-01-02,-2217708.8354854938,-18599863.583653837,16328379.63021317
2019-01-03,-1449942.5708592124,-18682101.272029836,17705766.60701777
2019-01-04,594447.0250339657,-17192368.435463928,20507207.01703035
2019-01-05,-876379.1872946285,-19284204.343332876,19968315.815471563
2019-01-06,-401674.0471468568,-19735454.942838058,20987778.527707327
2019-01-07,-863688.322687827,-20826193.255112734,21077434.72948326
2019-01-08,-1630550.9171574079,-22507253.988814197,21033067.215769105
2019-01-09,-2345266.020851571,-24041650.473402545,20996901.86269569
2019-01-10,-3320007.1600320116,-25928510.8664756,20899123.024989042
