customer_id,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Customer_Segment
10000,2,2,694.0699999999999,5,4,5,545,Loyal Customers
10002,4,1,164.28,4,1,3,413,Others
10004,5,1,186.92,3,1,3,313,Others
10006,3,2,156.63,4,4,3,443,Loyal Customers
10013,2,1,705.4,5,1,5,515,New Customers
10015,1,1,191.21,5,1,3,513,New Customers
10019,4,1,881.64,4,1,5,415,Others
10023,10,1,49.44,1,1,1,111,Lost Customers
10024,10,1,3.82,1,1,1,111,Lost Customers
10026,8,1,63.46,2,1,2,212,Lost Customers
10027,9,1,308.93,1,1,4,114,Others
10038,10,1,100.34,1,1,2,112,Lost Customers
10043,7,1,587.01,3,1,5,315,Others
10044,3,1,65.78,4,1,2,412,Others
10045,2,2,266.77,5,4,4,544,Loyal Customers
10054,7,1,200.58,3,1,3,313,Others
10056,7,1,299.82,3,1,4,314,Others
10059,7,2,284.3,3,4,4,344,Others
10060,7,1,188.13,3,1,3,313,Others
10062,4,1,78.43,4,1,2,412,Others
10063,1,2,283.80999999999995,5,4,4,544,Loyal Customers
10065,9,1,192.03,1,1,3,113,Others
10070,3,1,114.62,4,1,2,412,Others
10073,7,1,1.45,3,1,1,311,Others
10077,7,1,10.24,3,1,1,311,Others
10081,3,2,1195.67,4,4,5,445,Loyal Customers
10087,3,3,470.36,4,5,5,455,Loyal Customers
10088,8,1,78.1,2,1,2,212,Lost Customers
10089,2,2,76.49,5,4,2,542,Loyal Customers
10092,7,1,67.24,3,1,2,312,Others
10095,6,2,265.32,3,4,4,344,Others
10096,5,1,281.88,3,1,4,314,Others
10098,4,1,388.13,4,1,4,414,Others
10099,5,1,92.15,3,1,2,312,Others
10100,2,1,186.35,5,1,3,513,New Customers
10101,4,1,95.94,4,1,2,412,Others
10103,1,2,65.10000000000001,5,4,2,542,Loyal Customers
10106,5,1,1050.91,3,1,5,315,Others
10107,2,1,341.27,5,1,4,514,New Customers
10110,9,1,20.9,1,1,1,111,Lost Customers
10114,2,2,287.52,5,4,4,544,Loyal Customers
10115,4,1,22.83,4,1,1,411,Others
10118,7,2,234.98,3,4,3,343,Others
10119,7,1,158.28,3,1,3,313,Others
10123,7,1,94.01,3,1,2,312,Others
10124,5,1,22.81,3,1,1,311,Others
10126,3,1,577.41,4,1,5,415,Others
10128,2,3,281.44,5,5,4,554,Loyal Customers
10129,4,1,56.8,4,1,1,411,Others
10130,5,1,82.14,3,1,2,312,Others
10135,1,1,26.65,5,1,1,511,New Customers
10136,2,1,203.73,5,1,3,513,New Customers
10140,7,1,52.74,3,1,1,311,Others
10141,2,1,9.01,5,1,1,511,New Customers
10144,9,1,8.91,1,1,1,111,Lost Customers
10149,8,1,128.31,2,1,2,212,Lost Customers
10151,2,1,104.3,5,1,2,512,New Customers
10157,7,1,89.24,3,1,2,312,Others
10158,5,1,9.91,3,1,1,311,Others
10159,7,1,25.89,3,1,1,311,Others
10166,2,2,336.03999999999996,5,4,4,544,Loyal Customers
10168,9,1,60.04,1,1,2,112,Lost Customers
10170,1,1,25.52,5,1,1,511,New Customers
10172,1,1,87.57,5,1,2,512,New Customers
10173,7,1,148.64,3,1,3,313,Others
10174,9,1,16.46,1,1,1,111,Lost Customers
10175,4,1,2.13,4,1,1,411,Others
10176,7,1,306.84,3,1,4,314,Others
10179,7,1,437.72,3,1,5,315,Others
10180,1,1,28.99,5,1,1,511,New Customers
10181,1,2,137.26999999999998,5,4,3,543,Loyal Customers
10182,3,2,310.14,4,4,4,444,Loyal Customers
10183,5,1,186.08,3,1,3,313,Others
10185,4,1,97.07,4,1,2,412,Others
10190,7,1,469.83,3,1,5,315,Others
10192,7,1,7.73,3,1,1,311,Others
10200,7,1,367.38,3,1,4,314,Others
10201,1,2,307.84000000000003,5,4,4,544,Loyal Customers
10207,5,2,307.86,3,4,4,344,Others
10211,1,1,37.87,5,1,1,511,New Customers
10213,5,1,12.98,3,1,1,311,Others
10214,5,2,624.63,3,4,5,345,Others
10218,10,1,118.61,1,1,2,112,Lost Customers
10224,7,1,163.67,3,1,3,313,Others
10226,3,1,19.61,4,1,1,411,Others
10227,2,1,97.81,5,1,2,512,New Customers
10228,4,1,37.0,4,1,1,411,Others
10229,3,1,299.59,4,1,4,414,Others
10231,7,1,99.92,3,1,2,312,Others
10235,9,1,10.79,1,1,1,111,Lost Customers
10237,5,1,437.63,3,1,5,315,Others
10244,5,2,603.28,3,4,5,345,Others
10246,5,1,72.1,3,1,2,312,Others
10254,1,1,250.73,5,1,4,514,New Customers
10257,1,1,235.19,5,1,3,513,New Customers
10260,7,1,27.13,3,1,1,311,Others
10261,5,1,426.72,3,1,5,315,Others
10263,2,1,43.81,5,1,1,511,New Customers
10265,7,1,92.8,3,1,2,312,Others
10266,1,1,51.31,5,1,1,511,New Customers
10269,2,1,18.62,5,1,1,511,New Customers
10270,7,2,585.99,3,4,5,345,Others
10271,3,1,9.59,4,1,1,411,Others
10272,7,1,389.08,3,1,4,314,Others
10275,7,1,685.05,3,1,5,315,Others
10276,9,1,164.6,1,1,3,113,Others
10277,1,1,329.84,5,1,4,514,New Customers
10280,5,1,302.82,3,1,4,314,Others
10284,10,1,314.12,1,1,4,114,Others
10285,3,1,24.98,4,1,1,411,Others
10286,7,2,442.23,3,4,5,345,Others
10291,1,1,144.35,5,1,3,513,New Customers
10293,6,1,2.37,3,1,1,311,Others
10294,7,1,8.25,3,1,1,311,Others
10298,7,2,309.42,3,4,4,344,Others
10299,2,1,170.08,5,1,3,513,New Customers
10301,1,2,88.35,5,4,2,542,Loyal Customers
10302,10,1,91.08,1,1,2,112,Lost Customers
10305,7,1,11.3,3,1,1,311,Others
10308,8,1,230.14,2,1,3,213,Others
10309,3,1,195.77,4,1,3,413,Others
10310,7,1,198.98,3,1,3,313,Others
10318,3,1,444.06,4,1,5,415,Others
10328,5,2,552.73,3,4,5,345,Others
10329,7,1,24.18,3,1,1,311,Others
10330,1,1,98.57,5,1,2,512,New Customers
10334,9,2,281.7,1,4,4,144,At-Risk Customers
10336,7,1,63.42,3,1,2,312,Others
10337,5,1,332.02,3,1,4,314,Others
10338,2,1,133.07,5,1,3,513,New Customers
10343,9,1,284.95,1,1,4,114,Others
10345,7,1,408.61,3,1,4,314,Others
10346,4,1,349.41,4,1,4,414,Others
10351,2,1,378.56,5,1,4,514,New Customers
10352,2,1,458.13,5,1,5,515,New Customers
10355,7,1,52.31,3,1,1,311,Others
10359,7,1,351.81,3,1,4,314,Others
10360,7,1,52.24,3,1,1,311,Others
10361,9,1,285.26,1,1,4,114,Others
10364,3,1,105.1,4,1,2,412,Others
10365,3,1,167.27,4,1,3,413,Others
10367,4,1,303.36,4,1,4,414,Others
10370,7,1,201.36,3,1,3,313,Others
10371,9,1,51.74,1,1,1,111,Lost Customers
10373,1,2,311.45,5,4,4,544,Loyal Customers
10375,7,1,170.76,3,1,3,313,Others
10376,10,1,394.74,1,1,4,114,Others
10382,9,1,97.01,1,1,2,112,Lost Customers
10384,8,1,22.51,2,1,1,211,Lost Customers
10385,7,1,23.28,3,1,1,311,Others
10386,3,2,404.01,4,4,4,444,Loyal Customers
10387,2,1,162.01,5,1,3,513,New Customers
10389,2,1,8.44,5,1,1,511,New Customers
10395,7,1,328.36,3,1,4,314,Others
10396,1,1,49.19,5,1,1,511,New Customers
10399,4,2,395.38,4,4,4,444,Loyal Customers
10400,10,1,141.45,1,1,3,113,Others
10401,4,1,121.02,4,1,2,412,Others
10403,7,1,458.2,3,1,5,315,Others
10404,7,2,55.41,3,4,1,341,Others
10406,9,1,88.77,1,1,2,112,Lost Customers
10407,6,1,0.29,3,1,1,311,Others
10408,7,1,249.17,3,1,4,314,Others
10411,7,1,0.4,3,1,1,311,Others
10412,10,1,500.27,1,1,5,115,Others
10414,4,2,220.07,4,4,3,443,Loyal Customers
10415,10,1,133.87,1,1,3,113,Others
10417,4,1,473.22,4,1,5,415,Others
10420,7,1,586.71,3,1,5,315,Others
10421,7,1,60.48,3,1,2,312,Others
10422,7,1,15.72,3,1,1,311,Others
10425,4,1,68.24,4,1,2,412,Others
10426,7,1,6.03,3,1,1,311,Others
10429,10,1,3.79,1,1,1,111,Lost Customers
10434,2,3,208.74,5,5,3,553,Loyal Customers
10436,2,4,778.74,5,5,5,555,High-Value Customers
10437,3,1,84.76,4,1,2,412,Others
10440,7,1,394.63,3,1,4,314,Others
10441,7,2,1209.89,3,4,5,345,Others
10448,7,1,44.31,3,1,1,311,Others
10453,5,1,68.67,3,1,2,312,Others
10454,3,1,321.89,4,1,4,414,Others
10456,5,2,349.89000000000004,3,4,4,344,Others
10457,7,2,282.66,3,4,4,344,Others
10460,7,2,147.65,3,4,3,343,Others
10462,8,1,173.21,2,1,3,213,Others
10464,7,1,323.81,3,1,4,314,Others
10468,7,1,364.63,3,1,4,314,Others
10470,10,1,293.04,1,1,4,114,Others
10477,3,1,151.35,4,1,3,413,Others
10478,2,1,192.99,5,1,3,513,New Customers
10480,9,1,291.67,1,1,4,114,Others
10491,1,3,509.51,5,5,5,555,High-Value Customers
10492,7,1,783.04,3,1,5,315,Others
10494,5,1,4.32,3,1,1,311,Others
10495,2,1,255.96,5,1,4,514,New Customers
10496,4,2,229.3,4,4,3,443,Loyal Customers
10497,1,1,2.63,5,1,1,511,New Customers
10501,1,1,10.68,5,1,1,511,New Customers
10503,7,1,826.82,3,1,5,315,Others
10507,9,1,119.84,1,1,2,112,Lost Customers
10508,3,1,483.51,4,1,5,415,Others
10513,8,1,218.68,2,1,3,213,Others
10516,4,1,305.18,4,1,4,414,Others
10518,4,1,699.61,4,1,5,415,Others
10519,8,1,416.37,2,1,5,215,Others
10524,4,1,68.6,4,1,2,412,Others
10528,4,1,274.57,4,1,4,414,Others
10529,4,2,198.86,4,4,3,443,Loyal Customers
10530,8,1,113.19,2,1,2,212,Lost Customers
10534,7,1,188.59,3,1,3,313,Others
10535,1,1,198.91,5,1,3,513,New Customers
10538,8,1,7.77,2,1,1,211,Lost Customers
10539,3,1,157.65,4,1,3,413,Others
10541,4,2,274.3,4,4,4,444,Loyal Customers
10543,7,2,480.45000000000005,3,4,5,345,Others
10545,1,1,92.26,5,1,2,512,New Customers
10546,9,1,332.06,1,1,4,114,Others
10550,6,1,144.56,3,1,3,313,Others
10552,1,1,37.62,5,1,1,511,New Customers
10555,7,2,129.69,3,4,2,342,Others
10556,8,2,229.94,2,4,3,243,At-Risk Customers
10561,2,1,6.44,5,1,1,511,New Customers
10562,3,2,496.98,4,4,5,445,Loyal Customers
10566,5,1,94.6,3,1,2,312,Others
10568,8,2,79.60000000000001,2,4,2,242,Others
